Name	arraylength	comparision	time			
quicksortaveragecomp	100	653	459	0,028167947	6,53	4,59
quicksortaveragecomp	200	1566	1038	0,023870252	7,83	5,19
quicksortaveragecomp	300	2589	1658	0,06016929	8,63	5,526666667
quicksortaveragecomp	400	3647	2309	0,060287632	9,1175	5,7725
quicksortaveragecomp	500	4801	3033	0,070588477	9,602	6,066
quicksortaveragecomp	600	5988	3697	0,0514639	9,98	6,161666667
quicksortaveragecomp	700	7178	4413	0,097449686	10,25428571	6,304285714
quicksortaveragecomp	800	8470	5175	0,240735242	10,5875	6,46875
quicksortaveragecomp	900	9724	5853	0,610912711	10,80444444	6,503333333
quicksortaveragecomp	1000	11030	6655	0,331219721	11,03	6,655
quicksortaveragecomp	1100	12312	7292	0,251790691	11,19272727	6,629090909
quicksortaveragecomp	1200	13668	8066	0,319806973	11,39	6,721666667
quicksortaveragecomp	1300	14929	8817	0,412505303	11,48384615	6,782307692
quicksortaveragecomp	1400	16368	9590	0,309642656	11,69142857	6,85
quicksortaveragecomp	1500	17769	10360	0,201167062	11,846	6,906666667
quicksortaveragecomp	1600	19173	11164	0,21272716	11,983125	6,9775
quicksortaveragecomp	1700	20607	11945	0,956634242	12,12176471	7,026470588
quicksortaveragecomp	1800	22067	12722	1,138083063	12,25944444	7,067777778
quicksortaveragecomp	1900	23543	13549	1,02751513	12,39105263	7,131052632
quicksortaveragecomp	2000	24936	14307	0,468547042	12,468	7,1535
quicksortaveragecomp	2100	26456	15094	0,510450478	12,59809524	7,187619048
quicksortaveragecomp	2200	27965	15939	0,634692217	12,71136364	7,245
quicksortaveragecomp	2300	29410	16705	0,618530096	12,78695652	7,263043478
quicksortaveragecomp	2400	30888	17509	0,604320156	12,87	7,295416667
quicksortaveragecomp	2500	32242	18215	0,59636139	12,8968	7,286
quicksortaveragecomp	2600	33963	18916	0,608694585	13,06269231	7,275384615
quicksortaveragecomp	2700	35472	19810	0,757775699	13,13777778	7,337037037
quicksortaveragecomp	2800	36941	20607	0,724588237	13,19321429	7,359642857
quicksortaveragecomp	2900	38774	21465	0,847191842	13,37034483	7,401724138
quicksortaveragecomp	3000	40326	22309	0,671013143	13,442	7,436333333
quicksortaveragecomp	3100	41885	23154	0,551065943	13,51129032	7,469032258
quicksortaveragecomp	3200	43446	23914	0,479648044	13,576875	7,473125
quicksortaveragecomp	3300	45062	24685	0,825123236	13,65515152	7,48030303
quicksortaveragecomp	3400	46650	25520	0,636122127	13,72058824	7,505882353
quicksortaveragecomp	3500	48388	26549	0,603717387	13,82514286	7,585428571
quicksortaveragecomp	3600	49921	27218	0,688534615	13,86694444	7,560555556
quicksortaveragecomp	3700	51294	27798	0,83206564	13,86324324	7,512972973
quicksortaveragecomp	3800	53174	28791	1,009546214	13,99315789	7,576578947
quicksortaveragecomp	3900	54966	29708	1,463003218	14,09384615	7,617435897
quicksortaveragecomp	4000	56810	30600	1,434053344	14,2025	7,65
quicksortaveragecomp	4100	58560	31366	0,915257882	14,28292683	7,650243902
quicksortaveragecomp	4200	60007	32192	1,283449907	14,28738095	7,664761905
quicksortaveragecomp	4300	61870	32924	0,807116799	14,38837209	7,656744186
quicksortaveragecomp	4400	63576	33865	0,826454732	14,44909091	7,696590909
quicksortaveragecomp	4500	65458	34738	0,762803813	14,54622222	7,719555556
quicksortaveragecomp	4600	67010	35494	0,848418622	14,5673913	7,716086957
quicksortaveragecomp	4700	69221	36686	0,689808643	14,72787234	7,805531915
quicksortaveragecomp	4800	70604	37263	0,647099382	14,70916667	7,763125
quicksortaveragecomp	4900	72381	37936	0,677712939	14,77163265	7,742040816
quicksortaveragecomp	5000	74225	38894	1,826138421	14,845	7,7788
quicksortaveragecomp	5100	76158	39838	0,806307248	14,93294118	7,811372549
quicksortaveragecomp	5200	77630	40705	0,68347694	14,92884615	7,827884615
quicksortaveragecomp	5300	79521	41355	0,713467293	15,00396226	7,802830189
quicksortaveragecomp	5400	81342	42310	0,766046754	15,06333333	7,835185185
quicksortaveragecomp	5500	83099	43119	0,711719089	15,10890909	7,839818182
quicksortaveragecomp	5600	84859	43927	0,790338278	15,15339286	7,844107143
quicksortaveragecomp	5700	87134	44750	1,130029905	15,28666667	7,850877193
